track_id,caption
00289f72-fbb5-49fb-9e6e-d062b5eecae7,orchestral alternative uplifting. Genre: Orchestral Alternative Uplifting
003d0ee0-728d-42a5-9b90-ddfacb4e2817,pop. Genre: Pop
0071c830-64a6-4254-be3a-1cfd0611948d,Pop. Genre: Pop
00ab8ae8-04c7-4bb0-afcd-03c76096c5df,ethereal new age nordic
00d81f29-74e0-4a2b-a03c-7cba1dc36ae4,"Andy Winehouse, vocals, True King bass,tragic magic cello,pro studio mix Trending samples,heavy beat, blues soul. Genre: Andy Winehouse, True King Bass, Tragic Magic Cello"
010d2929-8745-4bf9-8d17-e6c32e190e53,"Male Vocal , hip hop techno. Genre: Male Vocal, Hip Hop Techno"
0146e85d-d3dc-4804-8ae2-47fdbf297a1f,Pop-rock. Genre: Pop-Rock
01655156-ad80-4662-b8aa-a008c6ee0dd5,Cinematic Ambient with elements of Progressive Rock
02352df2-76ad-4e9c-b289-d1c5e3ddd408,"atmospheric, emotional, electric, alternative rock, female vocals. Genre: Emotional, Electric, Alternative Rock"
025cb6c3-6d26-4304-9005-0d36e248c9a1,"Female vocals, Pop, light, saxophone, keyboard, guitar, rock, violin, pop, funk, pop rock. Genre: Female Vocals, Pop, Rock"
029faa4b-4007-42d7-84dc-23bc23a36094,"city-pop,80s, pop. Genre: City-Pop, Pop"
02e9e85a-c066-4b39-a0d8-1ed40a4d47e7,"Jazz, R&, clapping, piano, church music. Genre: Jazz, R&B, Clapping"
03354439-084c-4793-a44d-ed929caa8b40,rock. Genre: Rock
03dc40ef-e9cc-4003-8fd0-1743c2f8956d,rock motivating with a clear loud voice to understand lyrics
03f7caf5-daa6-49ea-8160-f3bd53de6572,powerful electric rock. Genre: Powerful Electric Rock
0421b0dd-6c18-47b6-8690-b04cfd77b8f1,"Vulnerable Female Vocals, honest, breathless, dynamic, powerful, falsetto, melismatic, emotional, post-hardcore,. Genre: Vulnerable Female Vocals, Honest, Breathless"
04a59171-94e9-4ee2-8781-c8ad67156d87,"Hip-hop, , Latin percussion, mariachi trumpets, trap hi-hats, deep bass, male rap vocals, catchy hooks. Genre: Hip-Hop, Latin Percussion, Mariachi Trumpets"
04f53d30-d1a2-4b29-b938-a1b0aad7483c,edm powerful saxophone heavy bass electropop
051db367-c03c-4bbc-8825-e183eed27f7a,gritty intricate gangsta. Genre: Gritty Intricate Gangsta
058c6f20-ffb3-4b78-ac6c-48c4a01c49bb,smooth elegant smooth jazz
05c34738-9776-44fa-ac31-eef1faa0f282,modern echo effects deep bass italian electronic
05fcc7c7-7161-4dd6-99ab-5c448ef4bcba,pop playful. Genre: Pop Playful
06fc804d-207a-4567-a6e3-139540cbc3e3,"Cosmic, warrior chants, Gothic. Genre: Cosmic, Warrior Chants, Gothic"
07e75e38-76cc-4287-b0cc-2970188c419d,mandelão baile funk. Genre: Mandelão Baile Funk
07f07132-326a-4d39-8139-ea643ef566ac,"Folksy Lullaby, Whimsical & Cozy,Soft acoustic guitar, gentle ukulele, light tambourine, bells, warm harmonies. Genre: Folksy Lullaby, Whimsical & Cozy, Soft Acoustic Guitar"
07f74a3d-8f3e-4a7e-9f99-be4f7dd19edf,Mid tempo rap strong punchy drum piano hook subtle bass reflective epic feel
08525ffb-8951-4e0d-8331-2d7e418da5f7,electronic cyberpunk edgy. Genre: Electronic Cyberpunk Edgy
087b5155-0fd5-4620-a392-5101e7d88a5b,"Flute, Violin, Drum, Guitar, Harp, Chanting, Australian Music Style. Genre: Drum, Chanting, Australian Music Style"
089865b0-8886-4fa3-b778-45ca1e2aa0be,"house,sampled, layered drums & bass,immersive, introspective, textured,experimental,rage,deep male voice,piano. Genre: House, Sampled, Immersive"
09a9c417-9d55-47f5-95b1-fb0d120d0b56,{Psychedelic-Trance} [Echoed-Vocals] (Synthesis-Loops + Phasing-Sounds + Deep-Bassline)
0a01f369-1f64-4de8-9097-cb9ac42583a4,haed house tribal beats female voice
0a270cf4-8807-4aea-b3fe-0dde369650a7,"SciFi,Cosmic,Violins,Bassnectar,Harp,Synthwave,Digital,Twist, AI Dominion,Piano,Mind,Dual,Electro Swing,Cyberpunk, Soul. Genre: Scifi, Cosmic, Violins"
0a40303c-db49-4e33-9c74-0bebdab97462,emotional soul pop ballad
0a85aae0-57ea-424c-a0fd-d30d6f4ebd8f,"1994 nu rap, smooth white male rap, soft 1903 hip hop mixed undertone, soft 1936 rap beat, soft 90s rap tone, drips,. Genre: Drips"
0a996190-7a9c-452b-9805-c20077110a9c,club-trap hip-hop dark. Genre: Club-Trap Hip-Hop Dark
0b0d1709-d7f7-495e-9c4d-7f93ab61911c,big band swing dark moody
0b1bdfb2-2755-4eb2-a5d1-f2d4395280a0,"Hip-hop, dark, Electronic, Electronic Dance Music EDM, Alternative R&, Rock, male vocal, male rap, k-rap, techno. Genre: Hip-Hop, Electronic, Alternative R&B"
0b4c51ca-e0ef-4a5f-a6cb-e4cfb6fbe5d5,Japanese city pop Distortic robotic Vocaloid Female
0bc28071-9d0e-4778-bb37-d93067f1e551,cheerful quirky. Genre: Cheerful Quirky
0bd35fdd-b864-4cf3-8874-bae5328fac80,"deutschrap, German Hip-Hop, Hip-Hop. Genre: Deutschrap, German Hip-Hop, Hip-Hop"
0be49c2a-a80f-433b-a42a-88383d7fdee2,"emotional soft heartfelt post-hardcore punk, female vocal, emotional, midwestern emo, pop punk, acid swancore,. Genre: Female Vocal, Emotional, Midwestern Emo"
0c33fc49-a81b-4144-a871-02b4cea33e75,Psychedelic rock. Genre: Psychedelic Rock
0cb4c36c-0628-46a9-8642-699e57b03b08,"k-pop, horror, evil, fear, épic anthem orchestral choir, Ethereal Voices, vocals-orchestra. Genre: K-Pop, Horror, Evil"
0ce21efe-7a69-44f3-80e8-bc9d1ba5ded7,"metalcore, ambient, technical death metal, djent, epic,maritime atmosphere, drums, guitars, bass, synth, morbid,dark. Genre: Metalcore, Ambient, Technical Death Metal"
0d08573e-a144-46e1-a321-754f515e89f1,Rap. Genre: Rap
0d2c89db-0216-4aaf-a6ab-9b6e828a6606,"anthem rock, soft rock, electronic rock, boy band, pop, dance, male vocal, clear vocals,. Genre: Anthem Rock, Soft Rock, Electronic Rock"
0d65fe3c-f6f5-4521-b846-99c5ce1c8704,Pop rock. Genre: Pop Rock
0ebfefea-7a7d-45df-ad3b-d0e0efd22a7a,"cajun, new wave, rock, dissonance, dissonant Hindi, epicurean Indian music, colonial British music, orchestral dissonanc. Genre: Cajun, New Wave, Rock"
0f031ff3-8ddc-4e6d-9188-7162791b3886,"colorful rio carnaval house, flute, vocal powerhouse,vocal ornamentation, trumpet, perfect EQ, top 40, percussion,energy. Genre: Vocal Powerhouse, Vocal Ornamentation, Perfect Eq"
0fa18eb0-2049-41b6-88e3-71754331884f,"mechanic female voice, dark electro, epic bass, chaotic voices, drama,pain, future, dystopia,. Genre: Mechanic Female Voice, Dark Electro, Epic  Bass"
0fd4aa0c-ff74-4ef0-ab4f-0fa2a9d36283,"traditional gospel, organ, choir,powerful. Genre: Traditional Gospel"
103c040d-0d3e-4b81-839f-c232d4cf29fc,Emd house pop future rave clubdance
1049ed60-d552-481d-8c87-0a7803987721,"8-bit, electro swing, fun, video game, catchy, whimsical, undertale, strong bassline, mischief, female villain, succubus. Genre: Electro Swing, Video Game, Catchy"
104c3597-aad7-47fe-b1cb-38c8fa1c5cfb,"childeren poem , childeren song , kidss poem , kids song , educational count with me. Genre: Childeren Poem, Childeren Song, Kidss Poem"
