track_id,caption
00289f72-fbb5-49fb-9e6e-d062b5eecae7,A medium-paced Orchestral Alternative Uplifting song in F# minor.
003d0ee0-728d-42a5-9b90-ddfacb4e2817,A medium-paced Pop song in A# minor.
0071c830-64a6-4254-be3a-1cfd0611948d,This Pop piece is in A# minor with a medium-paced pace.
00ab8ae8-04c7-4bb0-afcd-03c76096c5df,This piece is in E major with a slow pace.
00d81f29-74e0-4a2b-a03c-7cba1dc36ae4,"A medium-paced Andy Winehouse, True King Bass, Tragic Magic Cello song in G# minor."
010d2929-8745-4bf9-8d17-e6c32e190e53,"A fast-paced Male Vocal, Hip Hop Techno song in E major."
0146e85d-d3dc-4804-8ae2-47fdbf297a1f,This Pop-Rock piece is in D# major with a medium-paced pace.
01655156-ad80-4662-b8aa-a008c6ee0dd5,A fast-paced track in E major.
02352df2-76ad-4e9c-b289-d1c5e3ddd408,"This Emotional, Electric, Alternative Rock piece is in G# major with a medium-paced pace."
025cb6c3-6d26-4304-9005-0d36e248c9a1,"A medium-paced track in D# major. Genre: Female Vocals, Pop, Rock."
029faa4b-4007-42d7-84dc-23bc23a36094,"This City-Pop, Pop piece is in C minor with a medium-paced pace."
02e9e85a-c066-4b39-a0d8-1ed40a4d47e7,"A fast-paced track in G major. Genre: Jazz, R&B, Clapping."
03354439-084c-4793-a44d-ed929caa8b40,A medium-paced track in G major. Genre: Rock.
03dc40ef-e9cc-4003-8fd0-1743c2f8956d,A fast-paced track in D# major.
03f7caf5-daa6-49ea-8160-f3bd53de6572,"Set in G minor, this medium-paced Powerful Electric Rock composition."
0421b0dd-6c18-47b6-8690-b04cfd77b8f1,"A medium-paced Vulnerable Female Vocals, Honest, Breathless song in D major."
04a59171-94e9-4ee2-8781-c8ad67156d87,"A medium-paced Hip-Hop, Latin Percussion, Mariachi Trumpets song in F major."
04f53d30-d1a2-4b29-b938-a1b0aad7483c,This piece is in D minor with a medium-paced pace.
051db367-c03c-4bbc-8825-e183eed27f7a,"Set in C minor, this medium-paced Gritty Intricate Gangsta composition."
058c6f20-ffb3-4b78-ac6c-48c4a01c49bb,This piece is in E minor with a slow pace.
05c34738-9776-44fa-ac31-eef1faa0f282,This piece is in B minor with a fast-paced pace.
05fcc7c7-7161-4dd6-99ab-5c448ef4bcba,A medium-paced track in G# major. Genre: Pop Playful.
06fc804d-207a-4567-a6e3-139540cbc3e3,"Set in B minor, this medium-paced Cosmic, Warrior Chants, Gothic composition."
07e75e38-76cc-4287-b0cc-2970188c419d,A medium-paced track in B minor. Genre: Mandelão Baile Funk.
07f07132-326a-4d39-8139-ea643ef566ac,"A medium-paced track in D minor. Genre: Folksy Lullaby, Whimsical & Cozy, Soft Acoustic Guitar."
07f74a3d-8f3e-4a7e-9f99-be4f7dd19edf,A slow track in B minor.
08525ffb-8951-4e0d-8331-2d7e418da5f7,This Electronic Cyberpunk Edgy piece is in F major with a medium-paced pace.
087b5155-0fd5-4620-a392-5101e7d88a5b,"Set in B minor, this slow Drum, Chanting, Australian Music Style composition."
089865b0-8886-4fa3-b778-45ca1e2aa0be,"This House, Sampled, Immersive piece is in F minor with a fast-paced pace."
09a9c417-9d55-47f5-95b1-fb0d120d0b56,This piece is in B minor with a fast-paced pace.
0a01f369-1f64-4de8-9097-cb9ac42583a4,This piece is in C minor with a fast-paced pace.
0a270cf4-8807-4aea-b3fe-0dde369650a7,"This Scifi, Cosmic, Violins piece is in F major with a fast-paced pace."
0a40303c-db49-4e33-9c74-0bebdab97462,A fast-paced track in E minor.
0a85aae0-57ea-424c-a0fd-d30d6f4ebd8f,A very fast Drips song in B major.
0a996190-7a9c-452b-9805-c20077110a9c,This Club-Trap Hip-Hop Dark piece is in C# major with a medium-paced pace.
0b0d1709-d7f7-495e-9c4d-7f93ab61911c,This piece is in A# major with a fast-paced pace.
0b1bdfb2-2755-4eb2-a5d1-f2d4395280a0,"This Hip-Hop, Electronic, Alternative R&B piece is in D minor with a medium-paced pace."
0b4c51ca-e0ef-4a5f-a6cb-e4cfb6fbe5d5,This piece is in G major with a medium-paced pace.
0bc28071-9d0e-4778-bb37-d93067f1e551,A fast-paced Cheerful Quirky song in C major.
0bd35fdd-b864-4cf3-8874-bae5328fac80,"A medium-paced Deutschrap, German Hip-Hop, Hip-Hop song in G minor."
0be49c2a-a80f-433b-a42a-88383d7fdee2,"A medium-paced track in D major. Genre: Female Vocal, Emotional, Midwestern Emo."
0c33fc49-a81b-4144-a871-02b4cea33e75,"Set in E major, this fast-paced Psychedelic Rock composition."
0cb4c36c-0628-46a9-8642-699e57b03b08,"A very fast K-Pop, Horror, Evil song in C major."
0ce21efe-7a69-44f3-80e8-bc9d1ba5ded7,"A medium-paced track in F minor. Genre: Metalcore, Ambient, Technical Death Metal."
0d08573e-a144-46e1-a321-754f515e89f1,A slow track in E minor. Genre: Rap.
0d2c89db-0216-4aaf-a6ab-9b6e828a6606,"This Anthem Rock, Soft Rock, Electronic Rock piece is in E major with a slow pace."
0d65fe3c-f6f5-4521-b846-99c5ce1c8704,"Set in E major, this slow Pop Rock composition."
