track_id,caption
000ad05f-74ab-47b4-acad-6263ceb2ab2e,"This piece is in A# minor with a slow pace. It exhibits high energy and powerful dynamics and dissonant harmonic content, evoking a dynamic and neutral feeling."
0011803a-4c19-410d-973c-025278461698,"Set in E major, this slow composition conveys dark and aggressive through its strong intensity character."
00132ad7-d582-4d41-a516-ef8bf4609a7f,"A slow Live Music, Symphonic Anatolian Rock, Melodic Rock song in C major, characterized by high energy and powerful dynamics. The dark and aggressive quality creates a commanding experience."
00142b9d-43bd-4c67-84d3-22ed8d8340b4,"In B minor, this medium-paced Orchestral Epic, Melodic Progressive Metal, Spoken Word track blends strong intensity with dark and aggressive, resulting in a powerful sonic landscape."
001e6384-3c81-49ae-87e3-10ce783d7e6e,"A fast-paced Throat Singing, Metal, Mongolian song in B minor, characterized by intense energy. The dark and aggressive quality creates a powerful experience."
0028d6c7-d703-4e01-a8fb-6bb1e34bd460,"In B minor, this fast-paced Afro-House, Deep House, Soulful House track blends high energy and powerful dynamics with dark and aggressive, resulting in a forceful sonic landscape."
00385125-24fd-43da-87f0-9f51e775a775,"Set in D# minor, this fast-paced Techno Bass, Bass Trap composition conveys dynamic and neutral through its intense energy character."
003d7ee1-ae38-4316-87a0-1870fc593c6c,"A medium-paced track in D minor. Musically, it features strong intensity and dynamic and neutral, creating a adaptive atmosphere."
00475494-6cea-4aed-a4c7-43765561a812,"A fast-paced track in F minor. Musically, it features vigorous power and dark and aggressive, creating a powerful atmosphere."
0047cdda-d7fe-4b5c-b675-63f9caa1e7da,"This piece is in D# major with a medium-paced pace. It exhibits intense energy and high tension, evoking a dynamic and neutral feeling."
004a9cd1-963b-41d3-886d-0587e681e74d,"This Aggressive Basstep piece is in B minor with a fast-paced pace. It exhibits high energy and powerful dynamics and unstable structure, evoking a dark and aggressive feeling."
0055f435-4b73-41ad-a251-407876a347d3,"A fast-paced Electronic Vibrant song in B minor, characterized by high energy and powerful dynamics. The dark and aggressive quality creates a commanding experience."
0057fd8e-a164-41ce-bfaf-972bf7934cc9,"In B minor, this medium-paced Sultry Kawaii Breathy, Urban Groove, Upbeat Dnb Mix track blends vigorous power with dark and aggressive, resulting in a powerful sonic landscape."
00629d8c-58c3-4de1-bba6-0771965624f2,"Set in C major, this medium-paced Corporate Music, Video Background, Modern composition conveys cheerful and gentle through its moderate energy character."
006c6c59-655a-4c49-9bd4-5f6e7db78b87,"In E major, this medium-paced Freestyle Rap, Hip-Hop, Electronic track blends balanced dynamics with cheerful and gentle, resulting in a warm sonic landscape."
007239a9-7b14-48fc-bf8a-2215f3bd1f1d,"This Turkish Art Music, Baglama Faster Drums, Rhythm Drums piece is in G minor with a fast-paced pace. It exhibits high energy and powerful dynamics and unstable structure, evoking a dynamic and neutral feeling."
00735a55-847a-4288-a3e2-31591535b562,"A fast-paced track in C major with Dream House, Belting, Female Vocal. Musically, it features strong intensity and dynamic and neutral, creating a multifaceted atmosphere."
007bb655-01a2-47e8-b985-1ca8292b2528,"Set in E major, this medium-paced composition conveys calm and pleasant through its steady intensity character."
00850ea4-274c-4450-af9f-ae917bcbf155,"This Hard Rock piece is in B minor with a slow pace. It exhibits vigorous power and complex tonality, evoking a dark and aggressive feeling."
008fda96-5b7c-4cba-b723-9e9f630d8d5c,"A fast-paced Industrial Metal, Subbass song in F major, characterized by vigorous power. The dark and aggressive quality creates a forceful experience."
009ba5f4-96eb-4ddb-a0d0-6c9d27317f1f,"This Video Game Chiptunes, Electronica, Hip Hop piece is in G minor with a fast-paced pace. It exhibits intense energy and complex tonality, evoking a dark and aggressive feeling."
009cd99f-acb8-4851-b68b-23c24170578f,"In B minor, this medium-paced Funeral-Dark-Doom Metal track blends intense energy with dark and aggressive, resulting in a forceful sonic landscape."
009d1a98-413e-47c4-9f92-af2ca47d98f0,"This Anime, Shakuhachi, Dembow piece is in A major with a medium-paced pace. It exhibits intense energy and complex tonality, evoking a dynamic and neutral feeling."
00abf04f-9388-4012-b8ff-b60c4331d4e3,"Set in F major, this medium-paced Action composition conveys ambient and atmospheric through its steady intensity character."
00b5b03b-d5b8-4635-b855-6f570f0631a6,"This piece is in C minor with a fast-paced pace. It exhibits vigorous power and high tension, evoking a dynamic and neutral feeling."
00c7c00b-3f48-42d0-a468-da9ee5612084,"In B major, this slow Dubstep, Dark Electronic, Sub Bass track blends strong intensity with dark and aggressive, resulting in a commanding sonic landscape."
00cfcd3e-0795-4a47-96f4-8af98f97d497,"This piece is in C minor with a fast-paced pace. It exhibits high energy and powerful dynamics and unstable structure, evoking a dynamic and neutral feeling."
00d25eda-e20d-413c-9672-af040dd17a72,"Set in F major, this fast-paced composition conveys dynamic and neutral through its vigorous power character."
00d8f059-1acc-484a-9384-86f68d1841d7,"This Flamenco piece is in A# major with a medium-paced pace. It exhibits vigorous power and complex tonality, evoking a dynamic and neutral feeling."
00dcb7fa-0024-49dd-b23d-684f7dba683f,"This Ethereal, Dubstep, Demon Bass piece is in F major with a fast-paced pace. It exhibits moderate energy and unstable structure, evoking a subdued and introspective feeling."
00f51122-2889-4d9e-8b93-09bb2af7c1ab,"A fast-paced Male Voice, Calypso song in E major, characterized by high energy and powerful dynamics. The dark and aggressive quality creates a powerful experience."
00f80c59-435c-4508-ac88-6baacd79a5b6,"A fast-paced Deep Baritone Voice, Spoken Storytelling, South American Vocal song in F# minor, characterized by vigorous power. The dynamic and neutral quality creates a versatile experience."
01010231-df82-45a1-8d9e-a7e72d5dbf4b,"Set in F# minor, this medium-paced Pop composition conveys dynamic and neutral through its high energy and powerful dynamics character."
010e562d-9e1e-45e4-81a9-c0824af16262,"This Male Vocals, Synthwave, Darkwave piece is in F major with a medium-paced pace. It exhibits measured power and high tension, evoking a ambient and atmospheric feeling."
0114c510-df18-4519-b13c-31cad3bcda40,"Set in E major, this fast-paced composition conveys calm and pleasant through its balanced dynamics character."
011f7c1a-67e5-4852-9821-2d4704e67d07,"This Reggaeton, Trap piece is in D major with a medium-paced pace. It exhibits strong intensity and unstable structure, evoking a uplifting and energetic feeling."
01300310-d046-4e45-81e2-66ccc5583aae,"Set in B minor, this fast-paced Hyperpop, Drag, Iconic composition conveys dark and aggressive through its intense energy character."
0134d3e8-c335-47f6-9b4f-588c6c65de7d,"A fast-paced track in D minor with Power, Power Heavy Metal, Male Vocal. Musically, it features intense energy and dark and aggressive, creating a intense atmosphere."
0135f92a-d196-4c41-b0ef-87fbc92db396,"A fast-paced track in D# major. Musically, it features vigorous power and dark and aggressive, creating a intense atmosphere."
01485feb-044e-4d2f-ba93-fcf58dbd3ba7,"A very fast track in G# major with Pop, Candy Pop. Musically, it features vigorous power and dynamic and neutral, creating a balanced atmosphere."
014e6138-9543-46dd-b517-1be465017a7c,"A fast-paced track in D# major. Musically, it features strong intensity and dynamic and neutral, creating a versatile atmosphere."
015fe6e9-e370-4484-842e-f076ea584af2,"Set in G# major, this very fast Pop, Rap composition conveys dynamic and neutral through its strong intensity character."
016541f4-3fb5-4e2a-952e-7ccd0d4a88d1,"A medium-paced Accordion Tango song in D minor, characterized by vigorous power. The uplifting and energetic quality creates a lively experience."
0167377e-e798-4609-8a95-2f32a6fffef8,"A fast-paced Pop R&B song in G# major, characterized by intense energy. The dynamic and neutral quality creates a adaptive experience."
017774e4-cd11-4484-869f-d466f862f649,"In D# major, this medium-paced Electro, Rock, Psychedelic track blends intense energy with dynamic and neutral, resulting in a balanced sonic landscape."
017825e5-6cdd-454b-ad63-d93c2c35009f,"A medium-paced track in E major with Symphonic Metal, Female Voice. Musically, it features intense energy and dark and aggressive, creating a commanding atmosphere."
0186a566-ad9c-468a-829d-33e0814c3137,"A fast-paced track in E major with Child Music, Happy. Musically, it features strong intensity and uplifting and energetic, creating a vibrant atmosphere."
01a21184-d65c-4e35-8b71-65d8a1b04179,"In G# major, this fast-paced Rock track blends intense energy with dark and aggressive, resulting in a intense sonic landscape."
01a2fd01-9da3-4f72-876c-fd88302c6df2,"A fast-paced track in A major with Alt Rock, Male Voice. Musically, it features vigorous power and dynamic and neutral, creating a adaptive atmosphere."
01a342de-b499-4fe4-9e7d-4060a511bda4,"Set in A# major, this fast-paced composition conveys dynamic and neutral through its intense energy character."
01a8f03c-9147-47bd-a4fd-9d4a42470051,"Set in E major, this medium-paced Female Electric Guitar composition conveys dynamic and neutral through its intense energy character."
01b19a53-8215-47bd-8abd-e27070663dae,"A fast-paced Fabloo, Lo-Fi, Vaporwave song in C minor, characterized by high energy and powerful dynamics. The uplifting and energetic quality creates a exhilarating experience."
