track_id,caption
000ad05f-74ab-47b4-acad-6263ceb2ab2e,Lunch 🥙.
0011803a-4c19-410d-973c-025278461698,rock stoner distorted heavy.
00132ad7-d582-4d41-a516-ef8bf4609a7f,"female&male vokal, young sweet vocals, soft doom metal, melodic rock, symphonic anatolian rock, and live music."
00142b9d-43bd-4c67-84d3-22ed8d8340b4,"symphonic, aggrotech, spoken word, melodic progressive metal, and orchestral epic."
001e6384-3c81-49ae-87e3-10ce783d7e6e,"nu metal, Mongolian, metal, and throat singing."
0028d6c7-d703-4e01-a8fb-6bb1e34bd460,"African rhythms, soulful house, deep house, and Afro-house."
00385125-24fd-43da-87f0-9f51e775a775,Techno bass and bass trap.
003d7ee1-ae38-4316-87a0-1870fc593c6c,Modern Broadway or West End Musical Theatre comedy - male vocals.
00475494-6cea-4aed-a4c7-43765561a812,progressive house trance vibe strong 4/4 beat filtered bass drum percussive techno.
0047cdda-d7fe-4b5c-b675-63f9caa1e7da,pop hip hop female voice.
004a9cd1-963b-41d3-886d-0587e681e74d,Aggressive basstep.
0055f435-4b73-41ad-a251-407876a347d3,electronic vibrant.
0057fd8e-a164-41ce-bfaf-972bf7934cc9,"sultry kawaii breathy, Urban groove, upbeat DnB mix, and futuristic bass."
00629d8c-58c3-4de1-bba6-0771965624f2,"temperature, science and metrologyc, instrumental, acustic, modern, video background, and corporate music."
006c6c59-655a-4c49-9bd4-5f6e7db78b87,"pt-br brazilin voice, clean vocals, poetic, Beats, Smooth, Electronic, Bop, Hip, Hip-hop, Beat, and Freestyle Rap."
007239a9-7b14-48fc-bf8a-2215f3bd1f1d,"accordion, enthusiastic, heartfelt, fulpower, rhythm drums, baglama faster drums, saz, and Turkish art music."
00735a55-847a-4288-a3e2-31591535b562,"Dream House, Belting, Female Vocal, and Sound Producer."
007bb655-01a2-47e8-b985-1ca8292b2528,gritty 60s rock electric.
00850ea4-274c-4450-af9f-ae917bcbf155,Hard Rock.
008fda96-5b7c-4cba-b723-9e9f630d8d5c,subbass and Industrial metal.
009ba5f4-96eb-4ddb-a0d0-6c9d27317f1f,"boxing anthem, powerful trap, pulsating drum beat, beatbox, 1980's, hip hop, electronica, and video game chiptunes."
009cd99f-acb8-4851-b68b-23c24170578f,Funeral-Dark-Doom Metal.
009d1a98-413e-47c4-9f92-af2ca47d98f0,"anime, shakuhachi, dembow, metal, and chill breakcore."
00abf04f-9388-4012-b8ff-b60c4331d4e3,action and music studio for news.
00b5b03b-d5b8-4635-b855-6f570f0631a6,Ukrainian pop folk rock vs russian male solo.
00c7c00b-3f48-42d0-a468-da9ee5612084,"Vocaloid, FX, Dark Choir, Harmony Vocals, Reverb, Drum, Distorted Synth, Synth, Sub Bass, Dark Electronic, and Dubstep."
00cfcd3e-0795-4a47-96f4-8af98f97d497,A musical composition.
00d25eda-e20d-413c-9672-af040dd17a72,Rock italo disco eurodance.
00d8f059-1acc-484a-9384-86f68d1841d7,"Gypsy vocal strong unified flamenco female vocal soul vibe to sync violin, sad pain violin and guitar duo, and flamenco."
00dcb7fa-0024-49dd-b23d-684f7dba683f,"Ethereal, dubstep, kit 707, and demon bass."
00f51122-2889-4d9e-8b93-09bb2af7c1ab,"1960's Schlager, male Voice, and calypso."
00f80c59-435c-4508-ac88-6baacd79a5b6,"outlaw country, blues train, rockabilly, acoustic, south american vocal, spoken storytelling, and deep baritone voice."
01010231-df82-45a1-8d9e-a7e72d5dbf4b,upbeat and pop.
010e562d-9e1e-45e4-81a9-c0824af16262,"dark, experimental, guitar, ominous, space, synth bass pads, psychedellic, art rock, darkwave, synthwave, and male vocals."
0114c510-df18-4519-b13c-31cad3bcda40,Dream Pop and Deutsche Pop Balade.
011f7c1a-67e5-4852-9821-2d4704e67d07,"old school hip hop, trap, and reggaeton."
